"date","open","high","low","close","volume","adjClose","symbol"
"2013-07-09T00:00:00.000Z",44,44.23,43.25,43.32,3805700,41.21,"ABBV"
"2013-07-10T00:00:00.000Z",43.36,44.12,43.36,43.91,3080100,41.77,"ABBV"
"2013-07-11T00:00:00.000Z",43.94,44.11,43.33,43.78,4061400,42.03,"ABBV"
"2013-07-12T00:00:00.000Z",43.93,45.11,43.8,45.05,5693900,43.25,"ABBV"
"2013-07-15T00:00:00.000Z",44.95,44.97,44.54,44.62,3265800,42.84,"ABBV"
"2013-07-16T00:00:00.000Z",44.54,44.77,43.7,43.81,3714500,42.06,"ABBV"
"2013-07-17T00:00:00.000Z",43.97,44.15,43.74,43.96,3645400,42.2,"ABBV"
"2013-07-18T00:00:00.000Z",43.96,44.56,43.81,44.32,3043700,42.55,"ABBV"
"2013-07-19T00:00:00.000Z",44.49,44.91,44.12,44.52,4317900,42.74,"ABBV"
"2013-07-22T00:00:00.000Z",44.3,45.1,43.8,44.97,3810500,43.17,"ABBV"
"2013-07-23T00:00:00.000Z",44.92,45.09,44.23,44.31,3535100,42.54,"ABBV"
"2013-07-24T00:00:00.000Z",44.28,44.37,43.39,43.64,3088100,41.9,"ABBV"
"2013-07-25T00:00:00.000Z",43.41,44.43,43.35,44.24,4088500,42.47,"ABBV"
"2013-07-26T00:00:00.000Z",45.01,45.12,44.17,44.79,4491100,43,"ABBV"
"2013-07-29T00:00:00.000Z",44.72,45.45,44.47,45.06,4326200,43.26,"ABBV"
"2013-07-30T00:00:00.000Z",45.08,45.23,44.2,44.7,3619700,42.91,"ABBV"
"2013-07-31T00:00:00.000Z",44.84,45.91,44.81,45.48,6020600,43.66,"ABBV"
"2013-08-01T00:00:00.000Z",45.14,45.9,45.04,45.25,3652400,43.44,"ABBV"
"2013-08-02T00:00:00.000Z",45.11,45.42,44.81,45.32,3190700,43.51,"ABBV"
"2013-08-05T00:00:00.000Z",45.05,45.37,44.48,44.71,2953500,42.92,"ABBV"
"2013-08-06T00:00:00.000Z",44.42,44.99,44.42,44.88,4980600,43.09,"ABBV"
